Variable / Field Name,Form Name,Form Display Name,Section Header (defunct),Allow,multipleChoice,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,version
cpsy73,psychosis,Psychosis,Duration of Most Recent Episode,,,text,"### Duration of Most Recent Episode\r\n\r\nHow long did you feel/act this way? \r\n\r\n _(N days, N weeks, N months)_",,,,,,,[dcpsy188] = '0',,,,,,,
dcpsy193,psychosis,Psychosis,Most Severe Episode,autoAdvance,,radio,### Most Severe Episode\r\n\r\nWas that the worst you have felt?,"0, No | 1, Yes | 9, Unknown",,,,,,[dcpsy188] = '0',,RH,,,,,
cpsy77,psychosis,Psychosis,Duration of Current Episode,,,text,"### Duration of Current Episode\r\n\r\nHow long have you been feeling/acting this way? \r\n\r\n _(N days, N weeks, N months)_",,,,,,,[dcpsy188] = '1',,,,,,,
dcpsy194,psychosis,Psychosis,Most Severe Episode,autoAdvance,,radio,### Most Severe Episode\r\n\r\nIs this the worst you have felt?,"0, No | 1, Yes | 9, Unknown",,,,,,[dcpsy188] = '1',,RH,,,,,
dcpsy198,psychosis,Psychosis,Total Number of Episodes,,,text,### Total Number of Episodes\r\n\r\nHow many different times have you felt/acted this way? \r\n\r\n _INTERVIEWER: Different episodes should be seperated by at least 2 months)_,,TIMES,number,,,,[dcpsy126] = '1' or [cpsy50] = '1',,RH,,,,,
cpsy80,psychosis,Psychosis,Duration of Most Severe Episode,,,text,"### Duration of Most Severe Episode\r\n\r\nWhen you felt your worst, how long did that feeling last? \r\n\r\n _(N days, N weeks, N months)_",,,,,,,[dcpsy193] != '1' and [dcpsy194] != '1',,,,,,,
dcpsy202,psychosis,Psychosis,Onset of Most Severe Episode,,,text,"### Onset of Most Severe Episode\r\n\r\nHow old were you then? \r\n\r\n _Code 998 if ""always"", 999 if ""unknown""._",,AGE,autocomplete,,,,[dcpsy193] != '1' and [dcpsy194] != '1',,RH,,,,,
dcpsy203,psychosis,Psychosis,Course,autoAdvance,,radio,"### Course\r\n\r\nSince you were (age of onset), was there ever a time when you did not have these behaviors/feelings?","0, No | 1, Yes | 9, Unknown",,,,,,[dcpsy126] = '1' or [cpsy50] = '1',,RH,,,,,
cpsy83,psychosis,Psychosis,,,,text,"What was the longest period of time that (behavior/feeling) did not bother you? \r\n\r\n _(N weeks, N months, N years)_",,,,,,,[dcpsy203] = '1',,,,,,,
cpsy86,psychosis,Psychosis,Distress/Impairment,,,descriptive,"### Distress/Impairment\r\n\r\nPlease look at Participant Card 8: Distress/Impairment. \r\n\r\n _INTERVIEWER: Remind child how to use scale, if necessary._",,,,,,,[dcpsy126] = '1' or [cpsy50] = '1',,,,,,,
dcpsy207,psychosis,Psychosis,Distress,autoAdvance,,radio,### Distress\r\n\r\nHow much did your feelings/behaviors associated with this event upset or bother you?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 998, Unknown",CODE RESPONSE,autocomplete,0,10,,[dcpsy126] = '1' or [cpsy50] = '1',,,,,,,
dcpsy208,psychosis,Psychosis,Impairment,autoAdvance,,radio,"### Impairment\r\n\r\nHow much have the feelings/behaviors that you have told me about caused problems for you at home, at school, or with your family or friends?","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 998, Unknown",CODE RESPONSE,autocomplete,0,10,,[dcpsy126] = '1' or [cpsy50] = '1',,,,,,,
dcpsy209,psychosis,Psychosis,,autoAdvance,,radio,Did you stay home from school because of the way you were feeling?,"0, No | 1, Yes | 9, Unknown",,,,,,[dcpsy126] = '1' or [cpsy50] = '1',,LH,,,,,
cpsy89,psychosis,Psychosis,,,,text,"How many days of school did you miss because of (insert symptoms)? (lifetime) \r\n\r\n _(N days, N weeks, N months)_",,,,,,,[dcpsy209] = '1',,,,,,,
dcpsy213,psychosis,Psychosis,Help-Seeking Treatment (Lifetime),autoAdvance,,radio,"### Help-Seeking Treatment (Lifetime)\r\n\r\nDid anyone, like a teacher or family member, suggest that you get help for (list behaviors/feelings)?","0, No | 1, Yes | 9, Unknown",,,,,,[dcpsy126] = '1' or [cpsy50] = '1',,,,dcpsy211,,,
dcpsy214,psychosis,Psychosis,,autoAdvance,,radio,"Did you ever go to see a doctor, nurse, psychologist, social worker, school counselor, minister/priest or other professional to get help for (list behaviors/feelings)?","0, No | 1, Yes | 9, Unknown",,,,,,[dcpsy126] = '1' or [cpsy50] = '1',,,,dcpsy211,,,
cpsy91,psychosis,Psychosis,,,,descriptive,"What kind of person/people did you get help from? \r\n\r\n _INTERVIEWER: Refer to Participant Card 13 (Professional/Treatment), record and code responses on the following screens._",,,,,,,[dcpsy214] = '1',,,,,,,
dcpsy215,psychosis,Psychosis,,dontKnow,,text,Specify (Professional/Treatment 1):,,PROFESSIONAL/TREATMENT,,,,,[dcpsy214] = '1',,,,,,,
dcpsy216,psychosis,Psychosis,,dontKnow,,text,Code (Professional/Treatment 1):,,CODE RESPONSE,number,,,,[dcpsy214] = '1',,,,,,,
dcpsy217,psychosis,Psychosis,,dontKnow,,text,Specify (Professional/Treatment 2):,,PROFESSIONAL/TREATMENT,,,,,[dcpsy214] = '1',,,,,,,
dcpsy218,psychosis,Psychosis,,dontKnow,,text,Code (Professional/Treatment 2):,,CODE RESPONSE,number,,,,[dcpsy214] = '1',,,,,,,
dcpsy219,psychosis,Psychosis,,dontKnow,,text,Specify (Professional/Treatment 3):,,PROFESSIONAL/TREATMENT,,,,,[dcpsy214] = '1',,,,,,,
dcpsy220,psychosis,Psychosis,,dontKnow,,text,Code (Professional/Treatment 3):,,CODE RESPONSE,number,,,,[dcpsy214] = '1',,,,,,,
dcpsy221,psychosis,Psychosis,,dontKnow,,text,"_INTERVIEWER: If you listed multiple people, ask this question. If not, **Skip**:_ \r\n\r\n Who did you get help from the first time? \r\n\r\n Specify (Professional/Treatment):",,PROFESSIONAL/TREATMENT,,,,,[dcpsy214] = '1',,,,,,,
dcpsy223,psychosis,Psychosis,,dontKnow,,text,Code (Professional/Treatment):,,CODE RESPONSE,number,,,,[dcpsy214] = '1',,,,,,,
dcpsy224,psychosis,Psychosis,,,,text,"How old were you the first time you got help? \r\n\r\n _Code 998 if ""always"", 999 if ""unknown""._",,AGE,autocomplete,,,,[dcpsy214] = '1',,,,,,,
dcpsy225,psychosis,Psychosis,,autoAdvance,,radio,Are you getting help now?,"0, No | 1, Yes | 9, Unknown",,,,,,[dcpsy214] = '1',,LH,,,,,
dcpsy226,psychosis,Psychosis,,,,text,"If no, how old were you the last time you got help? \r\n\r\n _Code 998 if ""always"", 999 if ""unknown""._",,AGE,autocomplete,,,,[dcpsy225] = '0',,,,,,,
dcpsy227,psychosis,Psychosis,,,,notes,What did the professional say that you had (diagnoses given)? List:,,,,,,,[dcpsy214] = '1',,LH,,,,,
cpsy93,psychosis,Psychosis,,,1,checkbox,What kind of treatment(s) have you gotten? _(Check all that apply)_,"1, Out-patient (Going to see someone in an office) | 2, In-patient (Staying in a hospital) | 3, Other",,,,,,[dcpsy214] = '1',,,,,,,
dcpsy231,psychosis,Psychosis,,,,notes,Specify (Other treatment):,,,,,,,[cpsy93].includes(3),,LH,,,,,
dcpsy232,psychosis,Psychosis,,autoAdvance,,radio,"Were you on medications? \r\n\r\n _INTERVIEWER: Refer to Participant Card 9 (Medications), record and code responses in the following screens._","0, No | 1, Yes | 9, Unknown",,,,,,[dcpsy214] = '1',,LH,,,,,
dcpsy233,psychosis,Psychosis,,dontKnow,,text,Specify (Medication 1):,,MEDICATION,,,,,[dcpsy232] = '1',,RH,,,,,
dcpsy234,psychosis,Psychosis,,dontKnow,,text,Code (Medication 1):,,CODE RESPONSE,number,,,,[dcpsy232] = '1',,,,,,,
dcpsy235,psychosis,Psychosis,,dontKnow,,text,Specify (Medication 2):,,MEDICATION,,,,,[dcpsy232] = '1',,RH,,,,,
dcpsy236,psychosis,Psychosis,,dontKnow,,text,Code (Medication 2):,,CODE RESPONSE,number,,,,[dcpsy232] = '1',,,,,,,
dcpsy237,psychosis,Psychosis,,dontKnow,,text,Specify (Medication 3):,,MEDICATION,,,,,[dcpsy232] = '1',,RH,,,,,
dcpsy238,psychosis,Psychosis,,dontKnow,,text,Code (Medication 3):,,CODE RESPONSE,number,,,,[dcpsy232] = '1',,,,,,,
dcpsy239,psychosis,Psychosis,,dontKnow,,text,Specify (Medication 4):,,MEDICATION,,,,,[dcpsy232] = '1',,RH,,,,,
dcpsy240,psychosis,Psychosis,,dontKnow,,text,Code (Medication 4):,,CODE RESPONSE,number,,,,[dcpsy232] = '1',,,,,,,
cpsy_end,psychosis,Psychosis,,,,descriptive,_INTERVIEWER: END of **Psychosis** section_,,,,,,,,,,,,,,
